park_name,lat,long,average_visits
Devils Postpile National Monument,37.62444,-119.08412,110111
Lyndon B. Johnson National Historical Park,30.24083,-98.62398,109715
Timpanogos Cave National Monument,40.44056,-111.70912,108120
River Raisin National Battlefield Park,41.91361,-83.37817,107132
Great Basin National Park,38.93873,-114.26082,105880
Pea Ridge National Military Park,36.45444,-94.03401,105365
Fort Stanwix National Monument,43.21056,-75.45506,104364
City of Rocks National Reserve,42.07727,-113.70366,100295
General Grant National Memorial,40.81333,-73.96285,99491
Tuzigoot National Monument,34.77085,-112.02572,98053
Fort Smith National Historic Site,35.34333,-94.42261,95629
Little Rock Central High School National Historic Site,34.73666,-92.29845,93815
Natural Bridges National Monument,37.60138,-110.01342,93326
Grand Portage National Monument,47.98528,-89.74898,91908
Steamtown National Historic Site,41.40733,-75.67116,91780
New Orleans Jazz National Historical Park,29.96306,-90.06784,90495
Rainbow Bridge National Monument,37.07721,-110.96382,87079
Manzanar National Historic Site,36.72833,-118.15422,86691
Homestead National Monument of America,40.28525,-96.82172,81693
Oregon Caves National Monument,42.09806,-123.40692,77062
Carl Sandburg Home National Historic Site,35.26778,-82.45149,76484
Effigy Mounds National Monument,43.08861,-91.18537,76277
Ninety Six National Historic Site,34.14694,-82.02428,76152
Minuteman Missile National Historic Site,43.93111,-102.16032,76120
African Burial Ground National Monument,40.71367,-73.99364,74684
Saratoga National Historical Park,42.99889,-73.63728,74339
Hubbell Trading Post National Historic Site,35.72556,-109.59312,74165
Wrangell-St. Elias National Park and Preserve,61,-141.99972,72362
Moores Creek National Battlefield,34.45806,-78.10928,72316
Casa Grande Ruins National Monument,32.99517,-111.53162,72114
Navajo National Monument,36.68417,-110.53442,71415
Pipestone National Monument,44.01333,-96.32481,70736
Dayton Aviation Heritage National Historical Park,39.79472,-84.0887,69506
Niobrara National Scenic River,42.88333,-100.31642,68787
Horseshoe Bend National Military Park,32.97083,-85.73817,68252
Jimmy Carter National Historic Site,32.03389,-84.39984,67782
Cumberland Island National Seashore,30.83333,-81.44985,67470
Florissant Fossil Beds National Monument,38.91806,-105.26744,64637
Dry Tortugas National Park,24.6384,-81.7859,62764
Kalaupapa Leprosy Settlement and National Historical Park,21.17778,-156.95972,62048
Eisenhower National Historic Site,39.79332,-77.26316,58543
Eleanor Roosevelt National Historic Site,41.78582,-73.93511,56625
Roger Williams National Memorial,41.83038,-71.41075,55823
Fort Laramie National Historic Site,42.20917,-104.53562,54413
Monocacy National Battlefield,39.37115,-77.39192,54286
Whitman Mission National Historic Site,46.04,-118.46112,53649
Andrew Johnson National Historic Site,36.15833,-82.83482,52772
Frederick Douglass National Historic Site,38.86333,-76.98511,51699
Capulin Volcano National Monument,36.78222,-103.96972,51437
Chiricahua National Monument,32.01778,-109.34802,50818
Pipe Spring National Monument,36.86193,-112.73692,50685
Hopewell Furnace National Historic Site,40.19861,-75.7754,50498
El Morro National Monument,35.03833,-108.35302,49326
Fort Davis National Historic Site,30.59583,-103.92562,48861
